Price,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation Type,Price_per_sqm,Coordenadas,Tipo_Escola_Mais_Proxima,Distancia_Escola_Mais_Proxima
441000,70,2,2,1,2,1,0,1,0,Mooca,sale,6300.0,"(-23.559841, -46.604037)",Pública,0.17586830227561423
390000,31,1,2,1,1,1,0,1,0,Brooklin,sale,12580.645161290322,"(-23.618622, -46.685512)",Privada,0.47955230886491096
830000,82,3,3,1,1,0,1,0,0,Brooklin,sale,10121.951219512195,"(-23.616463, -46.680541)",Privada,0.3778253934100009
420000,54,2,2,1,1,1,1,1,0,Brooklin,sale,7777.777777777777,"(-23.603693, -46.694742)",Privada,0.47998501608720795
1737000,158,4,6,4,4,0,0,1,0,Brooklin,sale,10993.67088607595,"(-23.615268, -46.685278)",Privada,0.4948967451386645
780000,110,3,2,1,1,1,0,1,0,Brooklin,sale,7090.909090909091,"(-23.61321, -46.681417)",Privada,0.007906855153061753
790000,105,2,2,1,1,1,0,1,0,Brooklin,sale,7523.809523809524,"(-23.616043, -46.68276)",Privada,0.3559225605288262
550000,100,1,2,1,1,1,0,0,0,Brooklin,sale,5500.0,"(-23.610462, -46.684729)",Privada,0.16452214755814717
950000,113,3,2,1,1,0,0,0,0,Brooklin,sale,8407.079646017699,"(-23.612659, -46.678737)",Privada,0.07108503320522094
785000,67,2,2,1,1,0,0,1,0,Brooklin,sale,11716.41791044776,"(-23.618385, -46.684776)",Privada,0.4442154544981546
570140,54,2,2,1,1,0,0,1,0,Brooklin,sale,10558.148148148148,"(-23.623669, -46.688265)",Privada,0.047499214794503065
1470000,130,3,5,3,2,1,0,1,0,Brooklin,sale,11307.692307692309,"(-23.619816, -46.695689)",Privada,0.7457502610077255
2050000,169,3,4,2,2,0,0,1,0,Brooklin,sale,12130.1775147929,"(-23.626047, -46.685233)",Privada,0.38144998005202246
1690000,167,3,5,3,3,1,0,1,0,Brooklin,sale,10119.760479041915,"(-23.624065, -46.685122)",Privada,0.31282579852016085
760000,74,2,2,1,1,0,1,1,0,Brooklin,sale,10270.27027027027,"(-23.617511, -46.694794)",Privada,0.8280226521329372
555000,67,2,2,1,1,1,0,1,0,Brooklin,sale,8283.58208955224,"(-23.624665, -46.688734)",Privada,0.12119645158466404
688000,63,2,2,1,2,0,0,1,0,Brooklin,sale,10920.63492063492,"(-23.611935, -46.680022)",Privada,0.05933105368071274
690000,63,2,2,1,2,0,0,1,0,Brooklin,sale,10952.380952380952,"(-23.610342, -46.681432)",Privada,0.22483267081701366
1250000,125,3,4,1,2,1,0,1,0,Brooklin,sale,10000.0,"(-23.62446, -46.68547)",Privada,0.27997511144007076
950000,70,2,2,1,1,1,0,1,0,Brooklin,sale,13571.42857142857,"(-23.62339, -46.694729)",Privada,0.4577196978069933
640000,72,2,2,1,1,1,0,0,0,Brooklin,sale,8888.888888888889,"(-23.612967, -46.683731)",Privada,0.2650067936933486
1000000,121,3,4,1,3,1,1,1,0,Brooklin,sale,8264.462809917355,"(-23.610485, -46.681161)",Privada,0.19095770631003148
847000,83,3,3,1,2,1,0,1,0,Brooklin,sale,10204.819277108434,"(-23.619701, -46.678965)",Privada,0.3762851147918436
750000,94,3,4,1,2,1,0,1,0,Brooklin,sale,7978.723404255319,"(-23.612298, -46.681999)",Privada,0.12032044227592262
954000,100,3,4,3,2,1,0,1,0,Brooklin,sale,9540.0,"(-23.624773, -46.689663)",Privada,0.1939908710232669
1180000,125,3,4,3,2,1,0,1,1,Brooklin,sale,9440.0,"(-23.624773, -46.689663)",Privada,0.1939908710232669
2790000,225,4,4,3,4,1,0,1,0,Brooklin,sale,12400.0,"(-23.614144, -46.688294)",Privada,0.3819831080121134
555000,41,1,2,1,1,1,0,1,0,Brooklin,sale,13536.585365853658,"(-23.614331, -46.686158)",Privada,0.4851217292963964
440000,34,1,2,1,1,1,1,1,0,Brooklin,sale,12941.176470588236,"(-23.61244, -46.68121)",Privada,0.08283000967413859
847000,83,3,3,1,2,1,0,1,0,Brooklin,sale,10204.819277108434,"(-23.624752, -46.683948)",Pública,0.35141401965087865
1340000,105,2,3,2,2,1,0,1,0,Brooklin,sale,12761.904761904761,"(-23.614441, -46.686832)",Privada,0.45828122633931895
1100000,92,3,3,1,2,1,1,1,0,Vila Olimpia,sale,11956.521739130434,"(-23.601284, -46.678802)",Privada,0.15597473399909037
1400000,83,2,3,2,2,1,0,1,0,Vila Olimpia,sale,16867.469879518074,"(-23.599474, -46.675614)",Pública,0.12510753557744972
1650000,136,2,5,2,2,1,0,1,0,Vila Olimpia,sale,12132.35294117647,"(-23.599257, -46.679927)",Privada,0.24876682666542846
